,Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Recommendation
0,26,52,38,Sandy,Maize,37,0,0,"Urea(For Maize in Sandy soil, use the following quantity of Urea:
Nitrogen: 0.07 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.05 kg/ha)"
1,29,52,45,Loamy,Sugarcane,12,0,36,"DAP(For Sugarcane in Loamy soil, use the following quantity of DAP:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
2,34,65,62,Black,Cotton,7,9,30,"14-35-14(For Cotton in Black soil, use the following quantity of 14-35-14:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
3,32,62,34,Red,Tobacco,22,0,20,"28-28 (For Tobacco in Red soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.00 kg/ha
Phosphorous: 0.03 kg/ha)"
4,28,54,46,Clayey,Paddy,35,0,0,"Urea (For Paddy in Clayey soil, use the following quantity of Urea:
Nitrogen: 0.03 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
5,26,52,35,Sandy,Barley,12,10,13,"17-17-17  (For Barley in Sandy soil, use the following quantity of 17-17-17:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
6,25,50,64,Red,Cotton,9,0,10,"20-20 (For Cotton in Red soil, use the following quantity of 20-20:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
7,33,64,50,Loamy,Wheat,41,0,0,"Urea  (For Wheat in Loamy soil, use the following quantity of Urea:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
8,30,60,42,Sandy,Millets,21,0,18,"28-28  (For Millets in Sandy soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
9,29,58,33,Black,Oil seeds,9,7,30,"14-35-14 (For Oil seeds in Black soil, use the following quantity of 14-35-14:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
10,27,54,28,Clayey,Pulses,13,0,40,"DAP (For Pulses in Clayey soil, use the following quantity of DAP:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
11,31,62,48,Sandy,Maize,14,15,12,"17-17-17 (For Maize in Sandy soil, use the following quantity of 17-17-17:
Nitrogen: 0.07 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.05 kg/ha)"
12,25,50,65,Loamy,Cotton,36,0,0,"Urea (For Cotton in Loamy soil, use the following quantity of Urea:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
13,32,62,41,Clayey,Paddy,24,0,22,"28-28 (For Paddy in Clayey soil, use the following quantity of 28-28:
Nitrogen: 0.03 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
14,26,52,31,Red,Ground Nuts,14,0,41,"DAP (For Ground Nuts in Red soil, use the following quantity of DAP:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
15,31,62,49,Black,Sugarcane,10,13,14,"17-17-17 (For Sugarcane in Black soil, use the following quantity of 17-17-17:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
16,33,64,34,Clayey,Pulses,38,0,0,"Urea (For Pulses in Clayey soil, use the following quantity of Urea:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
17,25,50,39,Sandy,Barley,21,0,19,"28-28 (For Barley in Sandy soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
18,28,54,65,Black,Cotton,39,0,0,"Urea (For Cotton in Black soil, use the following quantity of Urea:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
19,29,58,52,Loamy,Wheat,13,0,36,"DAP(For Wheat in Loamy soil, use the following quantity of DAP:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
20,30,60,44,Sandy,Millets,10,0,9,"20-20 (For Millets in Sandy soil, use the following quantity of 20-20:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
21,34,65,53,Loamy,Sugarcane,12,14,12,"17-17-17 (For Sugarcane in Loamy soil, use the following quantity of 17-17-17:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
22,35,68,33,Red,Tobacco,11,0,37,"DAP (For Tobacco in Red soil, use the following quantity of DAP:
Nitrogen: 0.01 kg/ha
Potassium: 0.00 kg/ha
Phosphorous: 0.03 kg/ha)"
23,28,54,37,Black,Millets,36,0,0,"Urea (For Millets in Black soil, use the following quantity of Urea:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
24,33,64,39,Clayey,Paddy,13,0,10,"20-20 (For Paddy in Clayey soil, use the following quantity of 20-20:
Nitrogen: 0.03 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
25,26,52,44,Sandy,Maize,23,0,20,"28-28 (For Maize in Sandy soil, use the following quantity of 28-28:
Nitrogen: 0.07 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.05 kg/ha)"
26,30,60,63,Red,Cotton,9,9,29,"14-35-14 (For Cotton in Red soil, use the following quantity of 14-35-14:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
27,32,62,30,Loamy,Sugarcane,38,0,0,"Urea (For Sugarcane in Loamy soil, use the following quantity of Urea:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
28,37,70,32,Black,Oil seeds,12,0,39,"DAP (For Oil seeds in Black soil, use the following quantity of DAP:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
29,26,52,36,Clayey,Pulses,14,0,13,"20-20 (For Pulses in Clayey soil, use the following quantity of 20-20:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
30,29,58,40,Red,Ground Nuts,24,0,23,"28-28 (For Ground Nuts in Red soil, use the following quantity of 28-28:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
31,30,60,27,Loamy,Sugarcane,12,0,40,"DAP (For Sugarcane in Loamy soil, use the following quantity of DAP:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
32,34,65,38,Clayey,Paddy,39,0,0,"Urea (For Paddy in Clayey soil, use the following quantity of Urea:
Nitrogen: 0.03 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
33,36,68,38,Sandy,Barley,7,9,30,"14-35-14 (For Barley in Sandy soil, use the following quantity of 14-35-14:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
34,26,52,48,Loamy,Wheat,23,0,19,"28-28 (For Wheat in Loamy soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
35,28,54,35,Black,Millets,41,0,0,"Urea (For Millets in Black soil, use the following quantity of Urea:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
36,30,60,61,Loamy,Cotton,8,10,31,"14-35-14 (For Cotton in Loamy soil, use the following quantity of 14-35-14:
Nitrogen: 0.04 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.05 kg/ha)"
37,37,70,37,Clayey,Paddy,12,0,41,"DAP (For Paddy in Clayey soil, use the following quantity of DAP:
Nitrogen: 0.03 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
38,25,50,26,Red,Ground Nuts,15,14,11,"17-17-17 (For Ground Nuts in Red soil, use the following quantity of 17-17-17:
Nitrogen: 0.02 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
39,29,58,34,Sandy,Millets,15,0,37,"DAP (For Millets in Sandy soil, use the following quantity of DAP:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
40,27,54,30,Clayey,Pulses,13,0,13,"20-20 (For Pulses in Clayey soil, use the following quantity of 20-20:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.03 kg/ha)"
41,30,60,58,Loamy,Sugarcane,10,7,32,"14-35-14 (For Sugarcane in Loamy soil, use the following quantity of 14-35-14:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
42,32,62,34,Red,Tobacco,22,0,24,"28-28 (For Tobacco in Red soil, use the following quantity of 28-28:
Nitrogen: 0.01 kg/ha
Potassium: 0.00 kg/ha
Phosphorous: 0.03 kg/ha)"
43,34,65,60,Black,Sugarcane,35,0,0,"Urea (For Sugarcane in Black soil, use the following quantity of Urea:
Nitrogen: 0.03 kg/ha
Potassium: 0.03 kg/ha
Phosphorous: 0.15 kg/ha)"
44,35,67,42,Sandy,Barley,10,0,35,"DAP (For Barley in Sandy soil, use the following quantity of DAP:
Nitrogen: 0.01 kg/ha
Potassium: 0.01 kg/ha
Phosphorous: 0.01 kg/ha)"
